tyreManufacturer,tyrePattern,tyreSize,tyrePrice,tyreSeason
DEXEL,Premium Choice,205/55 R16 94V,76.18,Summer
DEXEL,Premium Choice,205/55 R16 94W,77.20,Summer
VREDESTEIN,Snowtrac 5,205/55 R16 91H,107.14,Winter
UNIROYAL,RainSport 5,205/55 R16 91H,68.59,Summer
UNIROYAL,RainSport 5,205/55 R16 91V,68.95,Summer
HANKOOK,Ventus Prime 3 (K125),205/55 R16 91H,71.20,Summer
HANKOOK,Ventus Prime 3 (K125),205/55 R16 91V,72.87,Summer
UNIROYAL,RainSport 5,205/55 R16 91W,73.64,Summer
UNIROYAL,RainSport 5,205/55 R16 94V,75.26,Summer
UNIROYAL,RainSport 3,205/55 R16 94Y,79.54,Summer
HANKOOK,Ventus Prime 3 (K125),205/55 R16 94W,79.74,Summer
UNIROYAL,RainSport 3,205/55 R16 91W,88.87,Summer
HANKOOK,Ventus Prime 3 (K125),205/55 R16 91W,90.78,Summer
PIRELLI,Cinturato P7,205/55 R16 91V,76.50,Summer
CONTINENTAL,SportContact 2,205/55 R16 91V,88.63,Summer
CONTINENTAL,EcoContact 5,205/55 R16 91V,88.63,Summer
CONTINENTAL,PremiumContact 6,205/55 R16 91V,88.63,Summer
CONTINENTAL,EcoContact 5,205/55 R16 91V,88.63,Summer
CONTINENTAL,EcoContact 5,205/55 R16 91V,88.63,Summer
CONTINENTAL,EcoContact 6,205/55 R16 91V,88.63,Summer
CONTINENTAL,EcoContact 5,205/55 R16 91H,89.19,Summer
CONTINENTAL,PremiumContact 5,205/55 R16 91H,89.19,Summer
CONTINENTAL,PremiumContact 6,205/55 R16 91H,89.19,Summer
CONTINENTAL,EcoContact 6,205/55 R16 91H,89.19,Summer
MICHELIN,Primacy 3,205/55 R16 91V,89.60,Summer
MICHELIN,Primacy 4,205/55 R16 91H,90.00,Summer
MICHELIN,Primacy 4,205/55 R16 91H,90.00,Summer
CONTINENTAL,EcoContact 5,205/55 R16 91W,90.02,Summer
CONTINENTAL,PremiumContact 5,205/55 R16 91W,90.02,Summer
CONTINENTAL,EcoContact 6,205/55 R16 91W,90.02,Summer
MICHELIN,Energy Saver,205/55 R16 91H,91.32,Summer
MICHELIN,Primacy 4,205/55 R16 91W,93.44,Summer
MICHELIN,Energy Saver,205/55 R16 91W,93.45,Summer
PIRELLI,Cinturato P7,205/55 R16 91W,94.22,Summer
PIRELLI,P7,205/55 R16 91W,95.73,Summer
CONTINENTAL,EcoContact 6,205/55 R16 94H,96.98,Summer
MICHELIN,Cross Climate +,205/55 R16 94V,97.89,Summer
CONTINENTAL,EcoContact 6,205/55 R16 94V,98.05,Summer
MICHELIN,Primacy 4,205/55 R16 94H,99.94,Summer
MICHELIN,Primacy 3,205/55 R16 91V,100.05,Summer
MICHELIN,Primacy 3,205/55 R16 91H,100.05,Summer
MICHELIN,Primacy 3,205/55 R16 91W,102.44,Summer
CONTINENTAL,EcoContact 6,205/55 R16 94W,103.96,Summer
CONTINENTAL,EcoContact 5,205/55 R16 94H,104.20,Summer
CONTINENTAL,eContact (Hybrid cars),205/55 R16 91Q,105.09,Summer
CONTINENTAL,PremiumContact,205/55 R16 91V,107.90,Summer
CONTINENTAL,EcoContact 6,205/55 R16 91W,109.70,Summer
MICHELIN,Primacy 4,205/55 R16 94V,110.07,Summer
BRIDGESTONE,Turanza ER300,205/55 R16 91V,89.53,Summer
BRIDGESTONE,Turanza ER300,205/55 R16 91H,90.90,Summer
BRIDGESTONE,Turanza T005,205/55 R16 91W,91.32,Summer
ECONOMY,N/A,205/55 R16 91V,52.86,Summer
ECONOMY,N/A,205/55 R16 91H,52.86,Summer
ECONOMY,N/A,205/55 R16 91W,53.40,Summer
ECONOMY,N/A,205/55 R16 91H,71.94,Winter
DUNLOP,SP Sport BluResponse,205/55 R16 91V,83.64,Summer
GOODYEAR,EfficientGrip Performance,205/55 R16 91H,83.79,Summer
GOODYEAR,EfficientGrip Performance,205/55 R16 91V,84.40,Summer
DUNLOP,SportMaxx RT,205/55 R16 91Y,86.06,Summer
DUNLOP,SP Sport BluResponse,205/55 R16 91W,86.06,Summer
GOODYEAR,EfficientGrip Performance,205/55 R16 91W,86.83,Summer
GOODYEAR,EfficientGrip,205/55 R16 91V,104.38,Summer
HANKOOK,Ventus Prime 3 (K125),225/50 R16 92V,104.97,Summer
UNIROYAL,RainSport 5,225/50 R16 92Y,106.60,Summer
CONTINENTAL,PremiumContact 2,225/50 R16 92W,143.59,Summer
CONTINENTAL,PremiumContact 6,225/50 R16 92Y,143.59,Summer
MICHELIN,Primacy 4,225/50 R16 92W,147.75,Summer
CONTINENTAL,WinterContact TS 830 P,225/50 R16 92H,195.33,Winter
ECONOMY,N/A,225/50 R16 92V,67.08,Summer
ECONOMY,N/A,225/50 R16 92W,70.44,Summer
